State	$	import	.	;	id	comma	=	static	(	)	void	...	{	}	struct	union	typedef	[	]	INTEGER	*	-=	signed	unsigned	char	if	else	while	do	for	break	goto	continue	return	:	case	defult	switch	?	||	&&	==	!=	<	>	<=	>=	<<	>>	+	-	/	%	++	--	SIZEOF	!	~	&	->	CHARACTOR	STRING	FLOAT	+=	*=	/=	%=	const	bool	float	double	long	short	int	extern	programe	import_staments	import_stament	NAME	name	top_decls	top_decl	defvars	other_vars	other_var	initial_expr	storage	defun	params	fixed_params	param	kwargs	block	block_componets	defstruct	defunion	member_list	slots	TYPEDEF	type	type_postfix	param_typerefs	fixed_param_ref	opassign_op	primary_type	stmts	stmt	if_stmt	while_stmt	dowhile_stmt	for_stmt	optional_for_expr	break_stmt	goto_stmt	continue_stmt	return_stmt	label_stmt	switch_stmt	label_stmts	expr	conditional_expr	logical_or_expr	logical_and_expr	equality_expr	relational_expr	shift_expr	additive_expr	multiplicative_expr	term	unary_expr	unary_operator	postfix_expr	primary_expr	CONSTANT	defconst	args	int_type	block_componet	forIniitialer	optional_for_exprs	expr_list	typeName	fun_decl	param_decl	var_decl	other_var_decls	other_var_decl	
272				r79	r79			r79	r79		r79		r79	r79	r79	r79				r79	r79		r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79		r79	r79	r79												r79	r79			r79	r79	r79	r79	r79	r79		r79	r79	r79						r79	r79	r79	r79	r79	r79																																																																										
273					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									285	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
274				r77	s113	r77		s11	s94		r20				r20	r20				s116	s106		r20	r20	r20																									s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96						r20	r20	r20	r20	r20	r20									286				235																									287								288	110	92	102	90	91	97	88	95	93	99	108	111	115	114					290	289								
275				r62	r62			r62	r62		r62		r62	r62	r62	r62				r62	r62		r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62		r62	r62	r62												r62	r62			r62	r62	r62	r62	r62	r62		r62	r62	r62						r62	r62	r62	r62	r62	r62																																																																										
276				s291																																																																																																																																																
277				r86	r86			r86	r86		r86		r86	r86	r86	r86				r86	r86		r86	r86	r86	r86	r86	r86	r86	r86	r86	r86	r86	r86		r86	r86	r86												r86	r86			r86	r86	r86	r86	r86	r86		r86	r86	r86						r86	r86	r86	r86	r86	r86																																																																										
278																																			s292																																																																																																																	
279																												s293																																																																																																																								
280				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														294	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
281				r18		r18	s68																																																																															67																																																														
282										s295																																																																																																																																										
283										s296																																																																																																																																										
284				r83	r83			r83	r83		r83		r83	r83	r83	r83				r83	r83		r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83		r83	r83	r83												r83	r83			r83	r83	r83	r83	r83	r83		r83	r83	r83						r83	r83	r83	r83	r83	r83																																																																										
285										s297																																																																																																																																										
286				r163	r163				r163											r163	r163																													r163	r163			r163	r163	r163	r163	r163	r163		r163	r163	r163																																																																																					
287				r165		r165				r165																																																																																																																																										
288				r78		r78				r78																																																																																																																																										
289				s298		s299																																																																																																																																														
290				r77	s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																	300								288	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
291				r80	r80			r80	r80		r80		r80	r80	r80	r80				r80	r80		r80	r80	r80	r80	r80	r80	r80	r80	r80	r80	r80	r80		r80	r80	r80												r80	r80			r80	r80	r80	r80	r80	r80		r80	r80	r80						r80	r80	r80	r80	r80	r80																																																																										
292				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														301	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
293									s302																																																																																																																																											
294				r84	r84			r84	r84		r84		r84	r84	r84	r84				r84	r84		r84	r84	r84	r84	r84	r84	r84	r84	r84	r84	r84	r84		r84	r84	r84												r84	r84			r84	r84	r84	r84	r84	r84		r84	r84	r84						r84	r84	r84	r84	r84	r84																																																																										
295				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														303	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
296				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														304	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
297													s305																																																																																																																																							
298				r164	r164				r164											r164	r164																													r164	r164			r164	r164	r164	r164	r164	r164		r164	r164	r164																																																																																					
299				r77	s113	r77			s94	r77										s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																	306								288	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
300				s307																																																																																																																																																
301				r85	r85			r85	r85		r85		r85	r85	r85	r85				r85	r85		r85	r85	r85	r85	r85	r85	r85	r85	r85	r85	r85	r85		r85	r85	r85												r85	r85			r85	r85	r85	r85	r85	r85		r85	r85	r85						r85	r85	r85	r85	r85	r85																																																																										
302					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									308	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
303				r74	r74			r74	r74		r74		r74	r74	r74	r74				r74	r74		r74	r74	r74	r74	r74	r74	r74	r74	r74	r74	r74	r74		r74	r74	r74												r74	r74			r74	r74	r74	r74	r74	r74		r74	r74	r74						r74	r74	r74	r74	r74	r74																																																																										
304				r72	r72			r72	r72		r72		r72	r72	r72	r72				r72	r72		r72	r72	r72	r72	s309	r72	r72	r72	r72	r72	r72	r72		r72	r72	r72												r72	r72			r72	r72	r72	r72	r72	r72		r72	r72	r72						r72	r72	r72	r72	r72	r72																																																																										
305					s311																															s259	s258																																																																																312		310																													
306				r166		r166				r166																																																																																																																																										
307					s113	r77			s94	r77										s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																	287								288	110	92	102	90	91	97	88	95	93	99	108	111	115	114						313								
308										s314																																																																																																																																										
309				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														315	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
310					s311									s316																						s259	s258																																																																																317																															
311																																			s280																																																																																																																	
312					r89									r89																						r89	r89																																																																																																															
313						s299				s318																																																																																																																																										
314				s319																																																																																																																																																
315				r73	r73			r73	r73		r73		r73	r73	r73	r73				r73	r73		r73	r73	r73	r73	r73	r73	r73	r73	r73	r73	r73	r73		r73	r73	r73												r73	r73			r73	r73	r73	r73	r73	r73		r73	r73	r73						r73	r73	r73	r73	r73	r73																																																																										
316				r87	r87			r87	r87		r87		r87	r87	r87	r87				r87	r87		r87	r87	r87	r87	r87	r87	r87	r87	r87	r87	r87	r87		r87	r87	r87												r87	r87			r87	r87	r87	r87	r87	r87		r87	r87	r87						r87	r87	r87	r87	r87	r87																																																																										
317					r88									r88																						r88	r88																																																																																																															
318				s255	s263				s94				s187							s116	s106					s242		s236	s260	s252	s245	s256	s240	s243		s259	s258	s249												s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																														261														320	251	248	241	246		244	257	250	253	239	238		254	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
319				r75	r75			r75	r75		r75		r75	r75	r75	r75				r75	r75		r75	r75	r75	r75	r75	r75	r75	r75	r75	r75	r75	r75		r75	r75	r75												r75	r75			r75	r75	r75	r75	r75	r75		r75	r75	r75						r75	r75	r75	r75	r75	r75																																																																										
320				r76	r76			r76	r76		r76		r76	r76	r76	r76				r76	r76		r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76		r76	r76	r76												r76	r76			r76	r76	r76	r76	r76	r76		r76	r76	r76						r76	r76	r76	r76	r76	r76																																																																										
